 ,sensor_id,sensor_x,sensor_y,sensor_z,index_finger,thumb,sensor_status,
57:23.7,1,542.212,601.631,404.14,672,667,VALID_DATA,枣44
57:28.2,1,625.594,417.394,-228.024,662,657,VALID_DATA,枣44
57:37.1,1,634.031,544.669,249.169,672,667,VALID_DATA,枣45
57:41.5,1,641.55,463.387,-89.328,662,657,VALID_DATA,枣45
58:12.7,1,542.419,588.038,130.892,672,667,VALID_DATA,枣46
58:20.0,1,520.631,397.05,-21.296,662,657,VALID_DATA,枣46
59:26.8,1,416.081,602.794,1099.466,682,677,VALID_DATA,枣47
59:30.6,1,640.894,712.725,188.518,672,667,VALID_DATA,枣47
59:41.3,1,422.081,658.163,1096.441,677,672,VALID_DATA,枣48
59:45.4,1,693.562,806.85,364.845,667,662,VALID_DATA,枣48
59:57.4,1,473.344,701.325,520.512,677,672,VALID_DATA,枣49
00:09.8,1,659.944,474.938,-343.912,667,662,VALID_DATA,枣49
12:51.7,1,380.625,694.725,993.198,677,672,VALID_DATA,枣50
12:56.3,1,486.675,746.025,82.008,667,662,VALID_DATA,枣50
13:39.5,1,374.644,869.381,928.917,687,682,VALID_DATA,枣51
13:44.7,1,425.869,900.506,563.497,677,672,VALID_DATA,枣51
15:30.3,1,381.581,634.894,1097.621,687,682,VALID_DATA,枣52
15:35.2,1,535.444,667.763,12.342,677,672,VALID_DATA,枣52
16:03.7,1,366.15,586.594,1126.51,687,682,VALID_DATA,枣53
16:13.6,1,504.244,612.75,-83.793,677,672,VALID_DATA,枣53
17:04.6,1,453.75,658.312,1002.576,677,672,VALID_DATA,枣54
17:10.4,1,633.6,701.212,49.247,667,662,VALID_DATA,枣54
17:30.6,1,417.769,679.406,909.587,682,677,VALID_DATA,枣55
17:36.0,1,531.056,562.688,-117.975,672,667,VALID_DATA,枣55
18:26.4,1,533.006,798.038,781.448,677,672,VALID_DATA,枣56
18:31.1,1,738.956,893.888,-281.385,667,662,VALID_DATA,枣56
19:31.4,1,478.538,718.256,959.318,677,672,VALID_DATA,枣57
19:35.6,1,445.819,844.331,44.982,667,662,VALID_DATA,枣57
19:45.6,1,452.962,640.2,990.446,677,672,VALID_DATA,枣58
19:49.5,1,481.181,681.413,114.406,667,662,VALID_DATA,枣58
20:48.1,1,436.95,798.356,898.486,677,672,VALID_DATA,枣59
20:51.5,1,378.375,830.362,-106.48,667,662,VALID_DATA,枣59
21:17.3,1,474.881,718.088,965.187,682,677,VALID_DATA,枣60
21:30.1,1,513.075,758.456,91.264,667,662,VALID_DATA,枣60
23:12.3,1,485.194,707.4,776.971,667,662,VALID_DATA,枣61
23:17.6,1,540.3,477.45,-412.55,657,652,VALID_DATA,枣61
24:19.1,1,433.481,708.075,887.686,672,667,VALID_DATA,枣62
24:23.9,1,413.194,623.1,37.994,662,657,VALID_DATA,枣62
24:42.9,1,485.738,654.375,730.779,667,662,VALID_DATA,枣63
24:46.4,1,516.75,355.425,-328.091,657,652,VALID_DATA,枣63
25:35.1,1,522.244,717.9,807.524,667,662,VALID_DATA,枣64
25:40.2,1,652.106,425.663,-362.788,657,652,VALID_DATA,枣64
27:41.0,1,478.5,672.544,1060.021,667,662,VALID_DATA,枣65
27:45.8,1,457.613,791.531,-190.273,657,652,VALID_DATA,枣65
27:56.8,1,467.587,718.744,897.487,672,667,VALID_DATA,枣66
28:00.4,1,358.181,681.263,191.21,662,657,VALID_DATA,枣66
29:15.0,1,497.269,611.081,1150.075,667,662,VALID_DATA,枣67
29:19.3,1,387.262,762.525,9.71,657,652,VALID_DATA,枣67
29:31.1,1,502.519,727.181,813.816,677,672,VALID_DATA,枣68
29:46.8,1,498.919,709.706,428.522,667,662,VALID_DATA,枣68
30:07.7,1,506.175,738.375,986.513,672,667,VALID_DATA,枣69
30:12.7,1,437.587,917.006,44.619,662,657,VALID_DATA,枣69
30:34.2,1,543.563,713.063,742.063,662,657,VALID_DATA,枣70
